Algorithm,Mean_VUS-PR,95%_CI_Lower,95%_CI_Upper
Series-Level Optimal,0.4526936057567358,0.39247268504317606,0.5083121360244991
MADTriangulation_forecast,0.44209290473403867,0.38223863477110537,0.49915884955185774
MADTriangulation_ensemble,0.4412025925349134,0.3874187183588506,0.4977306034034724
MADTriangulation_time,0.4410543883027971,0.3856829448297883,0.49949720729386704
MADTriangulation_fft,0.44098061531403626,0.3835735172870023,0.499775039161134
MAD,0.4370224309272318,0.37870532443322125,0.4937290876509503
MAD_fixed_head_fft,0.43279301506349316,0.3779550241048958,0.49121762338389136
MAD_fixed_head_time,0.430894841859191,0.37634115357395553,0.4843543096827069
MAD_fixed_head_ensemble,0.42403363176247466,0.36697145501388606,0.47843866562192394
MAD_all_heads_prompt,0.41788173290747826,0.3605808666539586,0.47688427131382566
TSPulseFT,0.3896666666666666,0.34394444444444444,0.4342847222222222
TSPulseZS,0.36099730562284754,0.3128505932264782,0.4195134241660531
MAD_forecast_biased_prompt,0.3290889079438902,0.27132902705593215,0.3806635821930014
MAD_no_dim_redux,0.32266625746347816,0.2673437125623134,0.37864239573557246
CNN,0.31298480624155595,0.26624711399436335,0.3613167030665502
TSPulseZS_time,0.31187071842032077,0.26441175842160075,0.3610967349045958
MAD_all_heads_prompt_no_dim_redux,0.3101576474774317,0.2603521864892348,0.36056192896388906
TSPulseZS_ensemble,0.31009632800818415,0.26464414804001124,0.3592993389877138
TSPulseZS_fft,0.3100939580905856,0.2625138275126578,0.3569287032076056
MAD_fixed_head_forecast,0.28344293202697224,0.23470570358375623,0.3337483149197502
STL_AD,0.253591656011174,0.20372446254591933,0.3042412324515311
TSPulseZS_forecast,0.23645187083098884,0.1920792347502368,0.2844964911951531
TimesNet,0.18546545521619512,0.1550093264996136,0.21991679730345975
TranAD,0.17551219217598613,0.1463296106971114,0.20922002928694164
AnomalyTransformer,0.11835579811070729,0.09267952565931231,0.14601546250842332
