Method,CATSv2,Credit Card,Daphnet,Exathlon,GECCO,GHL,Genesis,LTDB,MITDB,MSL,OPPORTUNITY,PSM,SMAP,SMD,SVDB,SWaT,OVL
TSPulse (FT),0.07,0.00,0.35,0.91,0.18,0.01,0.02,0.57,0.14,0.21,0.07,0.14,0.32,0.36,0.47,0.14,0.93
TSPulse (ZS),0.05,0.00,0.35,0.89,0.17,0.01,0.01,0.36,0.07,0.20,0.07,0.14,0.30,0.35,0.38,0.13,0.93
CNN,0.08,0.02,0.21,0.68,0.03,0.02,0.10,0.33,0.14,0.35,0.16,0.22,0.19,0.35,0.19,0.41,1.00
Omni Anomaly,0.04,0.02,0.34,0.84,0.02,0.07,0.00,0.44,0.11,0.22,0.18,0.16,0.12,0.17,0.35,0.15,0.81
PCA,0.12,0.10,0.13,0.95,0.20,0.01,0.02,0.24,0.07,0.15,0.30,0.16,0.09,0.36,0.11,0.45,1.00
LSTMAD,0.04,0.02,0.31,0.82,0.02,0.06,0.04,0.30,0.09,0.22,0.17,0.24,0.16,0.33,0.15,0.16,0.99
USAD,0.04,0.02,0.34,0.84,0.02,0.06,0.00,0.41,0.12,0.23,0.18,0.19,0.11,0.16,0.32,0.15,0.81
AutoEncoder,0.06,0.03,0.13,0.91,0.05,0.05,0.01,0.21,0.04,0.22,0.14,0.28,0.13,0.30,0.06,0.58,1.00
KMeansAD,0.12,0.02,0.30,0.37,0.06,0.03,0.89,0.41,0.06,0.44,0.06,0.21,0.38,0.36,0.20,0.16,0.86
CBLOF,0.06,0.03,0.10,0.86,0.03,0.02,0.02,0.20,0.04,0.21,0.14,0.19,0.14,0.22,0.07,0.29,1.00
MCD,0.13,0.06,0.14,0.80,0.03,0.01,0.06,0.21,0.04,0.23,0.17,0.26,0.10,0.26,0.07,0.54,1.00
OCSVM,0.08,0.02,0.06,0.83,0.04,0.04,0.08,0.20,0.04,0.22,0.12,0.19,0.12,0.28,0.06,0.44,0.81
Donut,0.07,0.02,0.17,0.66,0.03,0.05,0.18,0.26,0.12,0.30,0.15,0.20,0.18,0.19,0.11,0.44,0.75
RobustPCA,0.04,0.02,0.06,0.77,0.02,0.03,0.00,0.23,0.04,0.22,0.13,0.12,0.07,0.10,0.08,0.12,1.00
FITS,0.13,0.02,0.33,0.63,0.03,0.01,0.10,0.23,0.05,0.17,0.05,0.13,0.08,0.17,0.10,0.15,0.78
OFA,0.13,0.02,0.31,0.58,0.04,0.01,0.22,0.29,0.06,0.14,0.05,0.17,0.08,0.17,0.12,0.12,0.78
EIF,0.06,0.02,0.15,0.41,0.04,0.02,0.06,0.19,0.04,0.18,0.10,0.18,0.13,0.32,0.07,0.32,0.89
COPOD,0.05,0.05,0.11,0.40,0.04,0.03,0.08,0.21,0.04,0.21,0.17,0.20,0.10,0.19,0.07,0.31,0.99
IForest,0.05,0.03,0.13,0.35,0.04,0.05,0.08,0.21,0.04,0.21,0.18,0.19,0.09,0.26,0.07,0.39,0.93
HBOS,0.05,0.04,0.15,0.32,0.04,0.04,0.08,0.21,0.04,0.23,0.17,0.17,0.09,0.25,0.07,0.30,0.83
TimesNet,0.07,0.02,0.27,0.42,0.03,0.01,0.02,0.27,0.07,0.17,0.06,0.14,0.09,0.14,0.11,0.14,0.79
KNN,0.07,0.02,0.25,0.33,0.11,0.01,0.04,0.19,0.04,0.18,0.06,0.12,0.12,0.30,0.06,0.11,0.78
TranAD,0.04,0.02,0.31,0.10,0.02,0.06,0.04,0.26,0.07,0.24,0.16,0.23,0.09,0.30,0.12,0.15,0.81
LOF,0.05,0.02,0.11,0.16,0.13,0.01,0.08,0.19,0.04,0.14,0.10,0.15,0.09,0.16,0.06,0.15,0.79
Anomaly Transformer,0.03,0.02,0.07,0.10,0.02,0.03,0.01,0.21,0.05,0.12,0.07,0.21,0.06,0.07,0.08,0.18,0.77
