Method,CATSv2,Daphnet,Exathlon,IOPS,LTDB,MGAB,MITDB,MSL,NAB,NEK,OPPORTUNITY,Power,SED,SMAP,SMD,SVDB,SWaT,Stock,TAO,TODS,UCR,WSD,YAHOO
TSPulse (FT),0.40,0.54,0.87,0.42,0.52,0.01,0.22,0.66,0.51,0.58,0.06,0.08,0.07,0.74,0.80,0.56,0.10,0.98,1.00,0.68,0.28,0.43,0.83
TSPulse (ZS),0.35,0.55,0.83,0.42,0.41,0.00,0.10,0.64,0.50,0.58,0.06,0.07,0.06,0.71,0.78,0.36,0.10,0.98,1.00,0.68,0.18,0.42,0.83
Sub-PCA,0.26,0.42,0.93,0.23,0.56,0.01,0.36,0.51,0.44,0.91,0.91,0.08,0.03,0.52,0.45,0.52,0.39,0.84,0.93,0.54,0.12,0.09,0.14
KShapeAD,0.25,0.04,0.33,0.09,0.83,0.02,0.69,0.55,0.37,0.24,0.33,0.19,0.89,0.58,0.13,0.82,0.43,0.75,0.91,0.75,0.38,0.10,0.55
POLY,0.23,0.51,0.74,0.31,0.51,0.01,0.34,0.54,0.48,0.61,0.10,0.09,0.04,0.64,0.61,0.44,0.10,0.82,0.92,0.57,0.13,0.41,0.25
Series2Graph,0.21,0.19,0.60,0.22,0.79,0.00,0.61,0.25,0.44,0.67,0.11,0.07,0.15,0.55,0.46,0.55,0.22,0.79,0.91,0.73,0.25,0.27,0.28
MOMENT (FT),0.38,0.51,0.83,0.38,0.45,0.00,0.13,0.53,0.39,0.73,0.07,0.07,0.04,0.63,0.75,0.23,0.08,0.81,0.94,0.58,0.08,0.50,0.25
MOMENT (ZS),0.30,0.52,0.81,0.37,0.44,0.00,0.14,0.53,0.39,0.73,0.07,0.08,0.04,0.62,0.74,0.27,0.07,0.81,0.94,0.58,0.07,0.49,0.23
KMeansAD,0.23,0.04,0.41,0.06,0.49,0.01,0.27,0.48,0.33,0.20,0.30,0.39,0.87,0.63,0.18,0.44,0.10,0.76,0.92,0.65,0.38,0.10,0.56
USAD,0.40,0.12,0.89,0.13,0.55,0.00,0.18,0.27,0.28,0.73,0.67,0.06,0.03,0.27,0.66,0.43,0.37,0.75,0.93,0.52,0.08,0.04,0.10
Sub-KNN,0.29,0.04,0.47,0.10,0.58,0.24,0.36,0.33,0.29,0.23,0.30,0.21,0.87,0.51,0.14,0.56,0.10,0.75,0.92,0.65,0.37,0.10,0.31
Matrix Profile,0.36,0.04,0.56,0.10,0.58,0.29,0.39,0.48,0.32,0.13,0.25,0.15,0.72,0.47,0.13,0.36,0.11,0.72,0.92,0.76,0.34,0.02,0.43
SAND,0.27,0.04,0.25,0.06,0.79,0.01,0.67,0.30,0.38,0.32,0.18,0.16,0.75,0.56,0.11,0.72,0.21,0.74,0.91,0.70,0.34,0.08,0.41
CNN,0.32,0.40,0.61,0.26,0.42,0.01,0.15,0.33,0.19,0.73,0.40,0.08,0.06,0.34,0.55,0.21,0.68,0.92,1.00,0.54,0.05,0.24,0.53
LSTMAD,0.33,0.13,0.73,0.20,0.36,0.03,0.12,0.32,0.18,0.73,0.58,0.07,0.06,0.26,0.49,0.13,0.67,0.85,1.00,0.47,0.02,0.13,0.45
SR,0.28,0.20,0.73,0.24,0.29,0.01,0.07,0.22,0.20,0.50,0.33,0.10,0.07,0.29,0.36,0.08,0.35,1.00,1.00,0.64,0.07,0.22,0.61
TimesFM,0.25,0.36,0.53,0.20,0.27,0.00,0.06,0.32,0.18,0.35,0.05,0.08,0.05,0.30,0.40,0.06,0.22,0.99,0.99,0.75,0.07,0.21,0.81
IForest,0.08,0.36,0.67,0.28,0.34,0.00,0.10,0.29,0.22,0.59,0.43,0.08,0.36,0.25,0.34,0.09,0.50,0.99,0.99,0.52,0.02,0.14,0.44
OmniAnomaly,0.12,0.16,0.83,0.20,0.32,0.00,0.10,0.25,0.19,0.85,0.60,0.07,0.06,0.15,0.36,0.09,0.44,0.82,0.98,0.44,0.03,0.14,0.19
Lag-Llama,0.21,0.39,0.53,0.22,0.29,0.00,0.08,0.31,0.18,0.38,0.05,0.08,0.07,0.28,0.36,0.08,0.09,0.97,0.99,0.61,0.02,0.22,0.68
Chronos,0.10,0.31,0.45,0.18,0.26,0.00,0.06,0.18,0.18,0.34,0.06,0.08,0.06,0.19,0.32,0.06,0.14,0.99,1.00,0.70,0.07,0.18,0.80
TimesNet,0.10,0.39,0.53,0.22,0.29,0.00,0.08,0.31,0.20,0.37,0.05,0.08,0.05,0.38,0.54,0.09,0.11,0.79,0.91,0.59,0.02,0.27,0.29
AutoEncoder,0.18,0.09,0.36,0.25,0.69,0.01,0.07,0.27,0.32,0.51,0.12,0.09,0.41,0.49,0.14,0.32,0.38,0.72,0.93,0.65,0.09,0.14,0.29
TranAD,0.08,0.13,0.72,0.18,0.31,0.00,0.09,0.18,0.18,0.72,0.58,0.07,0.05,0.13,0.16,0.09,0.46,0.79,0.94,0.45,0.02,0.11,0.28
FITS,0.17,0.43,0.55,0.17,0.34,0.00,0.09,0.36,0.24,0.49,0.07,0.07,0.05,0.42,0.54,0.10,0.10,0.76,0.91,0.58,0.02,0.14,0.18
Sub-LOF,0.31,0.04,0.25,0.11,0.34,0.44,0.26,0.35,0.32,0.25,0.12,0.14,0.22,0.40,0.04,0.18,0.11,0.76,0.92,0.53,0.29,0.03,0.27
OFA,0.16,0.36,0.55,0.20,0.30,0.00,0.07,0.29,0.21,0.37,0.05,0.08,0.06,0.33,0.45,0.07,0.11,0.76,0.91,0.54,0.02,0.16,0.24
Sub-MCD,0.37,0.04,0.23,0.13,0.24,0.01,0.11,0.16,0.19,0.11,0.32,0.30,0.12,0.30,0.08,0.07,0.09,0.75,0.90,0.64,0.26,0.15,0.28
Sub-HBOS,0.04,0.05,0.45,0.05,0.69,0.00,0.17,0.25,0.30,0.23,0.08,0.12,0.88,0.55,0.10,0.24,0.12,0.70,0.93,0.64,0.14,0.01,0.06
Sub-OCSVM,0.26,0.06,0.29,0.07,0.33,0.01,0.14,0.28,0.26,0.26,0.11,0.16,0.06,0.51,0.08,0.20,0.09,0.73,0.92,0.65,0.18,0.03,0.23
Sub-IForest,0.05,0.07,0.49,0.04,0.66,0.00,0.24,0.36,0.30,0.22,0.07,0.12,0.79,0.47,0.09,0.27,0.13,0.69,0.90,0.66,0.10,0.01,0.06
Donut,0.08,0.06,0.45,0.10,0.31,0.00,0.10,0.20,0.18,0.47,0.18,0.09,0.14,0.31,0.29,0.08,0.47,0.78,0.91,0.48,0.01,0.06,0.12
LOF,0.06,0.13,0.20,0.12,0.26,0.00,0.06,0.15,0.17,0.38,0.14,0.09,0.11,0.15,0.13,0.05,0.12,0.75,0.91,0.49,0.02,0.09,0.37
Anomaly Transformer,0.05,0.07,0.13,0.06,0.27,0.00,0.09,0.14,0.14,0.23,0.07,0.09,0.09,0.09,0.18,0.07,0.10,0.75,0.90,0.46,0.01,0.02,0.07
