,ActualBestHead_Eval,ActualBestHead_Ablated_Eval,ReproducedChoice,LLMChoice,ActualBestHead_VUSPR,ActualBestHead_Ablated_VUSPR,ReproducedChoice_VUSPR,LLMChoice_VUSPR,Fallback_VUSPR
001_NAB_id_1_Facility_tr_1007_1st_2014,time,,fft,forecast,0.8086107030531541,,0.7902360655124688,0.1351178408996704,0.8020519433696706
002_NAB_id_2_WebService_tr_1500_1st_4106,fft,,fft,time,0.4733603315248311,,0.4733603315248311,0.4607772673123767,0.4723757873076452
005_NAB_id_5_Traffic_tr_594_1st_1645,fft,,fft,forecast,0.1594354898085671,,0.1594354898085671,0.0985242566329778,0.1576276467017616
006_NAB_id_6_Traffic_tr_2579_1st_5839,fft,,fft,ensemble,0.3597114404081708,,0.3597114404081708,0.3446094491928905,0.3446094491928905
008_NAB_id_8_Synthetic_tr_1007_1st_2734,fft,,fft,ensemble,0.8218232512238646,,0.8218232512238646,0.7213339664983253,0.7213339664983253
009_NAB_id_9_Traffic_tr_500_1st_438,fft,,fft,ensemble,0.7539471900976323,,0.7539471900976323,0.7461343572153591,0.7461343572153591
010_NAB_id_10_WebService_tr_500_1st_271,time,,fft,forecast,0.4350493730596725,,0.4350481171021450,0.3541999157079958,0.4258971614303612
011_NAB_id_11_Facility_tr_1007_1st_1526,ensemble,,fft,ensemble,0.8931826127166105,,0.8886754906291608,0.8931826127166105,0.8931826127166105
013_NAB_id_13_Traffic_tr_623_1st_2084,ensemble,,fft,ensemble,0.9921709268360824,,0.9918525558506212,0.9921709268360824,0.9921709268360824
014_NAB_id_14_WebService_tr_500_1st_1045,fft,,fft,forecast,0.6951379331703583,,0.6951379331703583,0.0823919358890855,0.6906777123142289
015_NAB_id_15_Synthetic_tr_1007_1st_2787,forecast,,fft,ensemble,0.1393318961922106,,0.1289401238572801,0.1241942975915710,0.1241942975915710
016_NAB_id_16_Environment_tr_1816_1st_3540,time,,fft,ensemble,0.2580084366160728,,0.2555504833446384,0.2548389473932705,0.2548389473932705
017_NAB_id_17_Synthetic_tr_1007_1st_1805,time,,fft,fft,0.3746769513835301,,0.3716249663209354,0.3716249663209354,0.2351309411478829
018_NAB_id_18_Facility_tr_500_1st_669,forecast,,fft,forecast,0.1600282854554508,,0.1024578298628829,0.1600282854554508,0.1025519887147723
019_NAB_id_19_Facility_tr_1007_1st_1171,time,,fft,ensemble,0.5274172476460959,,0.4627827544908476,0.4646202604472220,0.4646202604472220
020_NAB_id_20_Synthetic_tr_1007_1st_2679,fft,,fft,forecast,0.2568231552509381,,0.2568231552509381,0.1539312507024915,0.2081005374042750
022_NAB_id_22_Facility_tr_1007_1st_2980,fft,,fft,ensemble,0.8474823599744217,,0.8474823599744217,0.8318198147614574,0.8318198147614574
023_NAB_id_23_Facility_tr_4512_1st_16551,fft,,fft,ensemble,0.5128781889244836,,0.5128781889244836,0.4410100206893457,0.4410100206893457
024_NAB_id_24_Synthetic_tr_1007_1st_2787,fft,,fft,ensemble,0.5578084654066263,,0.5578084654066263,0.5343281305147316,0.5343281305147316
025_NAB_id_25_WebService_tr_3958_1st_4614,fft,,fft,ensemble,0.2701038999093874,,0.2701038999093874,0.2697155042824156,0.2697155042824156
026_NAB_id_26_Traffic_tr_624_1st_2261,time,,fft,time,0.5433263897740175,,0.5428624115997283,0.5433263897740175,0.5416479102648915
