Model,CV Accuracy,Final Uni Acc,Final Multi Acc
reduce_1_decoder_common_channel_mask_0.0_headact_softmax_expand_1,0.2745,0.1343,N/A
reduce_2_decoder_common_channel_mask_0.3_headact_sigmoid_expand_2,0.3388,0.4314,N/A
reduce_2_decoder_common_channel_mask_0.0_headact_sigmoid_expand_2,0.3427,0.4257,N/A
reduce_1_decoder_common_channel_mask_0.0_headact_sigmoid_expand_1,0.2808,0.1314,N/A
reduce_2_decoder_common_channel_mask_0.0_headact_softmax_expand_1,0.0714,0.1257,N/A
reduce_1_decoder_common_channel_mask_0.3_headact_sigmoid_expand_2,0.1773,0.1286,N/A
reduce_1_decoder_common_channel_mask_0.3_headact_softmax_expand_1,0.3161,0.4286,N/A
reduce_2_decoder_mix_channel_mask_0.3_headact_sigmoid_expand_2,0.1655,0.1271,N/A
reduce_2_decoder_mix_channel_mask_0.0_headact_sigmoid_expand_1,0.2698,0.1314,N/A
reduce_2_decoder_mix_channel_mask_0.0_headact_sigmoid_expand_2,0.2055,0.1886,N/A
reduce_2_decoder_mix_channel_mask_0.0_headact_softmax_expand_1,0.1576,0.1286,N/A
reduce_2_decoder_common_channel_mask_0.0_headact_sigmoid_expand_1,0.3388,0.4271,N/A
reduce_2_decoder_mix_channel_mask_0.0_headact_softmax_expand_2,0.0886,0.1257,N/A
reduce_1_decoder_common_channel_mask_0.3_headact_sigmoid_expand_1,0.1875,0.1814,N/A
reduce_1_decoder_common_channel_mask_0.0_headact_sigmoid_expand_2,0.2588,0.1314,N/A
reduce_2_decoder_mix_channel_mask_0.3_headact_softmax_expand_1,0.3459,0.4271,N/A
reduce_2_decoder_common_channel_mask_0.3_headact_sigmoid_expand_1,0.2533,0.1314,N/A
reduce_1_decoder_common_channel_mask_0.3_headact_softmax_expand_2,0.0722,0.1271,N/A
reduce_1_decoder_common_channel_mask_0.0_headact_softmax_expand_2,0.1749,0.1886,N/A
reduce_1_decoder_mix_channel_mask_0.0_headact_softmax_expand_1,0.3357,0.4257,N/A
reduce_2_decoder_common_channel_mask_0.3_headact_softmax_expand_2,0.3482,0.4300,N/A
reduce_2_decoder_common_channel_mask_0.0_headact_softmax_expand_2,0.2071,0.1886,N/A
reduce_1_decoder_mix_channel_mask_0.3_headact_softmax_expand_1,0.2039,0.1871,N/A
reduce_2_decoder_mix_channel_mask_0.3_headact_sigmoid_expand_1,0.1592,0.1286,N/A
reduce_1_decoder_mix_channel_mask_0.3_headact_softmax_expand_2,0.3231,0.4257,N/A
reduce_2_decoder_common_channel_mask_0.3_headact_softmax_expand_1,0.3208,0.4243,N/A
reduce_1_decoder_mix_channel_mask_0.0_headact_sigmoid_expand_1,0.0886,0.1257,N/A
reduce_2_decoder_mix_channel_mask_0.3_headact_softmax_expand_2,0.0792,0.1257,N/A
reduce_1_decoder_mix_channel_mask_0.0_headact_softmax_expand_2,0.3608,0.4314,N/A
reduce_1_decoder_mix_channel_mask_0.3_headact_sigmoid_expand_2,0.0737,0.1257,N/A
reduce_1_decoder_mix_channel_mask_0.0_headact_sigmoid_expand_2,0.0808,0.1329,N/A
reduce_1_decoder_mix_channel_mask_0.3_headact_sigmoid_expand_1,0.1482,0.1286,N/A
