iter	MultiClass
0	1.575300943
1	1.542104128
2	1.507492895
3	1.475707261
4	1.451526719
5	1.428656672
6	1.404926062
7	1.38288754
8	1.357182485
9	1.338882036
10	1.319151282
11	1.301124015
12	1.282526876
13	1.267346746
14	1.249893635
15	1.236521721
16	1.223355467
17	1.208373658
18	1.19153224
19	1.178460972
20	1.168328882
21	1.154196779
22	1.141740391
23	1.132518143
24	1.122178295
25	1.112229251
26	1.101340709
27	1.089507328
28	1.079198518
29	1.06832818
30	1.058528587
31	1.05039582
32	1.039360891
33	1.02939713
34	1.020242727
35	1.010596865
36	1.001278011
37	0.9934994846
38	0.9856267931
39	0.9768698266
40	0.969464641
41	0.963055802
42	0.9553217077
43	0.9483307138
44	0.9404505518
45	0.9347683142
46	0.926588239
47	0.9201301177
48	0.913153427
49	0.9050014881
50	0.8997782537
51	0.892777779
52	0.8873042899
53	0.8803506171
54	0.8746796917
55	0.8688865346
56	0.8610479199
57	0.8557256289
58	0.8500593504
59	0.8454893397
60	0.8415995457
61	0.8356207053
62	0.83096638
63	0.8257146334
64	0.8202812554
65	0.8161311695
66	0.811031853
67	0.8066567198
68	0.8004864848
69	0.7964347822
70	0.7917592944
71	0.7881519501
72	0.7850012618
73	0.7807751081
74	0.7768722983
75	0.7735746071
76	0.7681365777
77	0.7636094797
78	0.7586349375
79	0.7555334251
80	0.751863594
81	0.7470452464
82	0.7445972033
83	0.740622371
84	0.7356697878
85	0.7321055452
86	0.727305538
87	0.7224773422
88	0.7182480811
89	0.7144464558
90	0.7109419987
91	0.707373807
92	0.7028215323
93	0.6992704658
94	0.6952668463
95	0.689696867
96	0.6859340268
97	0.6805848442
98	0.6775276877
99	0.6742645556
100	0.6710252781
101	0.6688095254
102	0.6653388351
103	0.661841783
104	0.6597122145
105	0.6564559886
106	0.6535950939
107	0.6510642712
108	0.6487249482
109	0.6467550161
110	0.6431833369
111	0.6395935897
112	0.6363441383
113	0.6330767398
114	0.6293031109
115	0.6273611269
116	0.6237288875
117	0.6211489432
118	0.6167907279
119	0.6147560993
120	0.6113625573
121	0.6079907179
122	0.6041858601
123	0.6009352027
124	0.5978044304
125	0.5946608197
126	0.5914271588
127	0.5894430547
128	0.5851103885
129	0.5814081273
130	0.5782218206
131	0.5756992911
132	0.5728943802
133	0.569691644
134	0.5665554436
135	0.5648548905
136	0.5620646394
137	0.5595112581
138	0.5572994503
139	0.5549811832
140	0.5522483229
141	0.5493230316
142	0.5466706264
143	0.5443386059
144	0.540734575
145	0.5371085631
146	0.5339955942
147	0.5310179238
148	0.5274465032
149	0.5250551691
150	0.5216206467
151	0.519120667
152	0.5148299919
153	0.511761793
154	0.507876825
155	0.5039256867
156	0.5015870353
157	0.4984996075
158	0.4946224361
159	0.4910283511
160	0.4882789306
161	0.4859210432
162	0.4830234288
163	0.4793297658
164	0.4763509338
165	0.4730411911
166	0.4691019951
167	0.4659000979
168	0.462368761
169	0.4597871642
170	0.457276447
171	0.4539705192
172	0.4521992132
173	0.4501068438
174	0.4474530595
175	0.4441528205
176	0.4418443478
177	0.4400135881
178	0.4367446639
179	0.4342003875
180	0.4311355779
181	0.4282946745
182	0.4250541797
183	0.4223531285
184	0.4204803039
185	0.4190103975
186	0.4172870197
187	0.4149417936
188	0.4120345042
189	0.4095384287
190	0.4072071905
191	0.4048734688
192	0.4020173805
193	0.3992231089
194	0.3975864827
195	0.3960177176
196	0.3930539861
197	0.3906702351
198	0.3877871204
199	0.3858816978
200	0.3827437209
201	0.3795284121
202	0.3774361519
203	0.3750812376
204	0.373467166
205	0.3712709195
206	0.3699394775
207	0.3677232083
208	0.3657501442
209	0.3643921794
210	0.3624218073
211	0.3600565488
212	0.3580596882
213	0.3561454738
214	0.3546732582
215	0.3524522098
216	0.3499247843
217	0.3486099543
218	0.3471369797
219	0.3449082402
220	0.3429992604
221	0.3408286295
222	0.3382745182
223	0.3360116005
224	0.3340150711
225	0.3322199367
226	0.330216258
227	0.3289275483
228	0.3274267262
229	0.3256134828
230	0.3240161426
231	0.3226150776
232	0.3207818544
233	0.3195592836
234	0.3176426329
235	0.315723033
236	0.3144357623
237	0.312808366
238	0.3112650185
239	0.309094454
240	0.307125797
241	0.3053997223
242	0.3037350402
243	0.3017990757
244	0.3000831564
245	0.2985573415
246	0.2967990926
247	0.2948513308
248	0.2932951264
249	0.2919335101
250	0.2901607144
251	0.2881792706
252	0.2866107189
253	0.2855387573
254	0.2839148503
255	0.2822785657
256	0.2809919595
257	0.2796100615
258	0.2783330314
259	0.2767034546
260	0.2752373158
261	0.2737799394
262	0.2722813711
263	0.2713095771
264	0.2698552257
265	0.2684768495
266	0.267257306
267	0.2656415558
268	0.2646806312
269	0.2631462321
270	0.2615613432
271	0.260034759
272	0.2594382146
273	0.2584068573
274	0.2570287426
275	0.2556463607
276	0.2545001002
277	0.2529689157
278	0.2518466767
279	0.2505078547
280	0.2494603473
281	0.2479487936
282	0.24736238
283	0.246156161
284	0.2442842785
285	0.2433868749
286	0.2423160867
287	0.2412545967
288	0.2394029127
289	0.2382072054
290	0.2372091738
291	0.2362447179
292	0.2350174384
293	0.2338888766
294	0.2326702795
295	0.2313338213
296	0.2301181751
297	0.2291351866
298	0.2277879725
299	0.2264570496
300	0.2256556483
301	0.2240566623
302	0.2223248331
303	0.2213380592
304	0.2200200433
305	0.2188297821
306	0.2172561591
307	0.2166437097
308	0.2155636333
309	0.214949031
310	0.2143285017
311	0.2135203917
312	0.2126063199
313	0.211678268
314	0.2107309489
315	0.2103181596
316	0.209297002
317	0.2082988283
318	0.2075270825
319	0.2066533591
320	0.2057887559
321	0.2048574339
322	0.2037643084
323	0.20276585
324	0.2022252913
325	0.2014947879
326	0.2003430305
327	0.1996582295
328	0.1985893412
329	0.1974081293
330	0.1963618685
331	0.1958530228
332	0.1946268696
333	0.1936668058
334	0.1927629194
335	0.1923397545
336	0.1913012666
337	0.1902604379
338	0.189336969
339	0.1886584815
340	0.1876741634
341	0.1866569494
342	0.1860947999
343	0.1853832315
344	0.18450961
345	0.1836650955
346	0.1828598223
347	0.1819082459
348	0.1808947761
349	0.1803294421
350	0.1795382293
351	0.1788036775
352	0.1778800343
353	0.17708183
354	0.1762316816
355	0.1753082857
356	0.1746412581
357	0.1737918851
358	0.1731051741
359	0.1722042042
360	0.1714416267
361	0.1706962596
362	0.1701450899
363	0.1695036235
364	0.1685916181
365	0.1678053085
366	0.1671255116
367	0.1662463544
368	0.1655198667
369	0.1649432279
370	0.1641986807
371	0.1636388231
372	0.1630387149
373	0.1625426904
374	0.161892323
375	0.1612567646
376	0.1607655435
377	0.1600780048
378	0.1592764345
379	0.1587491359
380	0.1581076356
381	0.1576770783
382	0.1569733853
383	0.1563667282
384	0.1555658588
385	0.1551441038
386	0.1546981477
387	0.1540282873
388	0.1533090826
389	0.1526668252
390	0.1521993887
391	0.1516749323
392	0.1509406059
393	0.1501677801
394	0.1498547973
395	0.1493847339
396	0.1489717898
397	0.1485050522
398	0.1479394571
399	0.1473401458
400	0.1469243025
401	0.1462612897
402	0.1456927344
403	0.1451582661
404	0.1445775343
405	0.1439825789
406	0.1434370883
407	0.1428332013
408	0.142176935
409	0.1416626426
410	0.141068184
411	0.140493968
412	0.1400235182
413	0.1393725664
414	0.1388389661
415	0.1382664452
