iter	Passed	Remaining
0	298	149072
1	544	135498
2	787	130533
3	1046	129750
4	1303	129079
5	1547	127393
6	1809	127431
7	2069	127282
8	2316	126383
9	2576	126261
10	2838	126173
11	3082	125352
12	3342	125206
13	3604	125143
14	3850	124493
15	4110	124339
16	4372	124221
17	4635	124123
18	4897	123982
19	5144	123456
20	5406	123327
21	5652	122804
22	5912	122614
23	6157	122118
24	6403	121665
25	6648	121203
26	6907	121008
27	7150	120542
28	7393	120088
29	7636	119646
30	7898	119497
31	8161	119357
32	8405	118957
33	8667	118798
34	8916	118457
35	9160	118064
36	9420	117881
37	9666	117525
38	9909	117136
39	10171	116976
40	10420	116663
41	10665	116303
42	10926	116124
43	11186	115932
44	11445	115725
45	11692	115397
46	11937	115057
47	12180	114702
48	12427	114386
49	12671	114041
50	12932	113854
51	13192	113656
52	13451	113446
53	13712	113256
54	13956	112917
55	14200	112593
56	14461	112392
57	14726	112227
58	14991	112053
59	15257	111886
60	15505	111586
61	15766	111379
62	16012	111069
63	16257	110754
64	16519	110551
65	16780	110341
66	17024	110024
67	17286	109820
68	17532	109516
69	17780	109225
70	18027	108926
71	18274	108632
72	18536	108423
73	18784	108135
74	19048	107943
75	19308	107722
76	19569	107507
77	19814	107201
78	20074	106978
79	20318	106673
80	20613	106630
81	20860	106336
82	21107	106044
83	21353	105748
84	21618	105550
85	21879	105329
86	22141	105110
87	22390	104829
88	22636	104535
89	22882	104242
90	23156	104076
91	23415	103843
92	23680	103632
93	23946	103426
94	24207	103199
95	24468	102972
96	24733	102759
97	24981	102476
98	25247	102264
99	25512	102048
100	25758	101758
101	26005	101473
102	26267	101243
103	26528	101010
104	26775	100727
105	27036	100492
106	27299	100267
107	27548	99989
108	27795	99705
109	28041	99420
110	28288	99138
111	28537	98860
112	28799	98631
113	29045	98345
114	29291	98063
115	29552	97830
116	29798	97547
117	30061	97317
118	30325	97091
119	30572	96811
120	30817	96529
121	31063	96244
122	31309	95963
123	31571	95734
124	31817	95451
125	32079	95220
126	32326	94944
127	32572	94662
128	32817	94382
129	33081	94155
130	33329	93881
131	33592	93650
132	33838	93374
133	34084	93096
134	34344	92858
135	34592	92585
136	34839	92311
137	35104	92084
138	35368	91857
139	35634	91630
140	35896	91396
141	36159	91163
142	36422	90929
143	36669	90656
144	36933	90422
145	37198	90194
146	37460	89955
147	37706	89681
148	37969	89444
149	38230	89204
150	38491	88964
151	38753	88725
152	39018	88493
153	39268	88227
154	39516	87956
155	39762	87680
156	40009	87408
157	40272	87171
158	40519	86899
159	40780	86659
160	41027	86387
161	41274	86115
162	41536	85876
163	41796	85631
164	42056	85386
165	42301	85113
166	42562	84871
167	42826	84633
168	43091	84398
169	43354	84159
170	43601	83887
171	43865	83650
172	44129	83411
173	44393	83173
174	44639	82902
175	44891	82640
176	45139	82373
177	45402	82132
178	45652	81867
179	45915	81627
180	46181	81390
181	46428	81122
182	46675	80853
183	46922	80584
184	47169	80314
185	47418	80050
186	47663	79779
187	47910	79511
188	48172	79268
189	48435	79025
190	48681	78756
191	48927	78488
192	49175	78222
193	49438	77981
194	49684	77711
195	49947	77470
196	50208	77224
197	50456	76958
198	50705	76695
199	50965	76447
200	51226	76202
201	51489	75959
202	51736	75694
203	51998	75449
204	52245	75182
205	52491	74914
206	52756	74674
207	53017	74428
208	53265	74163
209	53513	73899
210	53758	73631
211	54006	73367
212	54258	73108
213	54507	72847
214	54771	72604
215	55036	72362
216	55284	72098
217	55551	71859
218	55816	71618
219	56066	71357
220	56328	71111
221	56574	70846
222	56822	70582
223	57071	70320
224	57332	70073
225	57578	69807
226	57827	69545
227	58073	69280
228	58320	69017
229	58582	68770
230	58828	68505
231	59075	68242
232	59337	67996
233	59582	67730
234	59844	67484
235	60091	67221
236	60353	66974
237	60601	66712
238	60849	66450
239	61112	66204
240	61357	65940
241	61602	65675
242	61847	65410
243	62108	65163
244	62356	64901
245	62604	64639
246	62868	64395
247	63131	64149
248	63407	63917
249	63652	63652
250	63901	63392
251	64165	63146
252	64410	62883
253	64675	62638
254	64923	62377
255	65184	62128
256	65432	61867
257	65682	61609
258	65931	61349
259	66197	61105
260	66461	60859
261	66724	60612
262	66971	60350
263	67236	60105
264	67484	59844
265	67732	59584
266	67996	59337
267	68242	59075
268	68502	58825
269	68748	58563
270	69009	58314
271	69257	58053
272	69519	57805
273	69783	57558
274	70032	57299
275	70279	57038
276	70541	56789
277	70787	56528
278	71034	56267
279	71277	56003
280	71522	55741
281	71783	55492
282	72048	55245
283	72310	54996
284	72554	54733
285	72815	54484
286	73076	54234
287	73320	53971
288	73581	53722
289	73827	53461
290	74073	53200
291	74332	52949
292	74592	52698
293	74853	52448
294	75099	52187
295	75358	51936
296	75603	51675
297	75849	51414
298	76097	51156
299	76360	50907
300	76623	50658
301	76868	50397
302	77115	50137
303	77375	49886
304	77620	49626
305	77880	49375
306	78142	49125
307	78386	48864
308	78632	48604
309	78878	48344
310	79141	48095
311	79385	47834
312	79645	47583
313	79892	47324
314	80151	47072
315	80410	46821
316	80656	46561
317	80917	46311
318	81178	46060
319	81423	45800
320	81685	45550
321	81946	45299
322	82207	45048
323	82469	44798
324	82728	44546
325	82974	44286
326	83216	44025
327	83478	43775
328	83741	43525
329	84001	43273
330	84245	43013
331	84491	42754
332	84754	42504
333	84998	42244
334	85244	41986
335	85492	41728
336	85755	41478
337	86019	41228
338	86284	40978
339	86530	40720
340	86775	40461
341	87018	40201
342	87278	39949
343	87542	39699
344	87787	39440
345	88031	39181
346	88277	38923
347	88537	38671
348	88781	38412
349	89042	38161
350	89289	37903
351	89549	37651
352	89810	37399
353	90055	37141
354	90301	36883
355	90546	36625
356	90806	36373
357	91049	36114
358	91309	35862
359	91580	35614
360	91841	35362
361	92086	35104
362	92348	34853
363	92594	34595
364	92839	34337
365	93083	34079
366	93346	33828
367	93608	33576
368	93853	33319
369	94098	33061
370	94342	32803
371	94604	32552
372	94863	32299
373	95108	32041
374	95353	31784
375	95602	31528
376	95865	31277
377	96111	31020
378	96374	30768
379	96634	30516
380	96879	30258
381	97139	30006
382	97384	29749
383	97646	29497
384	97914	29247
385	98162	28990
386	98408	28734
387	98652	28477
388	98910	28223
389	99172	27971
390	99433	27719
391	99678	27462
392	99922	27205
393	100166	26948
394	100427	26695
395	100671	26438
396	100917	26182
397	101180	25930
398	101426	25674
399	101672	25418
400	101915	25161
401	102180	24909
402	102425	24653
403	102672	24397
404	102931	24144
405	103192	23891
406	103439	23636
407	103700	23383
408	103946	23127
409	104191	22871
410	104437	22615
411	104681	22359
412	104928	22103
413	105173	21847
414	105420	21592
415	105666	21336
416	105929	21084
417	106175	20828
418	106426	20574
419	106674	20318
420	106938	20066
421	107182	19811
422	107444	19558
423	107708	19306
424	107952	19050
425	108213	18797
426	108458	18542
427	108720	18289
428	108965	18033
429	109210	17778
430	109470	17525
431	109736	17273
432	109998	17020
433	110259	16767
434	110505	16512
435	110766	16259
436	111013	16004
437	111273	15751
438	111519	15495
439	111783	15243
440	112043	14989
441	112304	14736
442	112565	14483
443	112811	14228
444	113071	13975
445	113333	13722
446	113580	13467
447	113841	13213
448	114102	12960
449	114346	12705
450	114592	12450
451	114856	12197
452	115104	11942
453	115365	11689
454	115611	11434
455	115871	11180
456	116119	10925
457	116384	10672
458	116649	10419
459	116912	10166
460	117175	9912
461	117440	9659
462	117700	9405
463	117945	9150
464	118207	8897
465	118469	8643
466	118729	8389
467	118988	8135
468	119233	7881
469	119493	7627
470	119739	7372
471	119983	7117
472	120230	6863
473	120476	6608
474	120724	6353
475	120984	6100
476	121247	5846
477	121507	5592
478	121767	5338
479	122028	5084
480	122276	4830
481	122536	4576
482	122780	4321
483	123024	4066
484	123268	3812
485	123533	3558
486	123795	3304
487	124040	3050
488	124283	2795
489	124527	2541
490	124773	2287
491	125019	2032
492	125265	1778
493	125512	1524
494	125755	1270
495	126014	1016
496	126273	762
497	126535	508
498	126782	254
499	127028	0
