Dataset,TSPulse3_non_forecast_biased,TSPulse2Triangulation_ensemble,TSPulse2Triangulation_fft,TSPulse2Triangulation_forecast,TSPulse2Triangulation_time,Oracle,TSPulseZS,TSPulseFT,CNN,TSPulse2,TSPulse2_dimensionality_reduction_ablated,TSPulse2_llm_selection_ablated_ensemble,TSPulse2_llm_selection_ablated_fft,TSPulse2_llm_selection_ablated_forecast,TSPulse2_llm_selection_ablated_time,TSPulse3_non_forecast_biased_dim_redux_ablated,TSPulseZS_ensemble,TSPulseZS_fft,TSPulseZS_forecast,TSPulseZS_time
CATSv2,0.05313413902728899,0.068538937815182,0.068538937815182,0.068538937815182,0.068538937815182,0.06965580240635827,0.05458308765757168,0.07,0.08197428409608346,0.05098682480884226,0.04464414913218874,0.05903167824066774,0.05353034730369368,0.03948052657864062,0.068538937815182,0.04854581043762246,0.14201297142979885,0.10576408470177216,0.05458308765757168,0.10612576664625326
CreditCard,0.0068667336945301,0.0358112113474456,0.0069380399156172,0.2052961351163489,0.006870883131988,0.2052961351163489,0.0042314134128307,0.0,0.0220418316022392,0.0583028291907299,0.0146510339535006,0.0358112113474456,0.0069380399156172,0.2052961351163489,0.006870883131988,0.0064432740597325,0.0042083566182391,0.0042083566182391,0.0653011197079235,0.0042314134128307
Daphnet,0.357253564831675,0.3565241214773007,0.355752788170817,0.3285125541932717,0.3605206217943749,0.3605206217943749,0.3544037205279834,0.35,0.2084853862238509,0.3565241214773007,0.4109601479312338,0.3565241214773007,0.355752788170817,0.3285125541932717,0.3605206217943749,0.4125458393233098,0.3492513646856368,0.3495797910884103,0.3345557713226016,0.3544037205279834
Exathlon,0.8616048416917126,0.8611809857732869,0.8611809857732869,0.8611809857732869,0.8611809857732869,0.8672855268979694,0.8948715142052986,0.91,0.6811577843437903,0.8619530875150078,0.9112974632650566,0.8584436437373139,0.8614899477555283,0.6997950030116329,0.8611809857732869,0.9138572610454705,0.8897035291480015,0.8948715142052986,0.7500901750415369,0.8962673489323859
GECCO,0.1500756839827755,0.1535097433065803,0.1524103554611286,0.2051072574885077,0.1543348594305889,0.2051072574885077,0.1773299407901468,0.18,0.0333674638000686,0.1535097433065803,0.1235341838278397,0.1535097433065803,0.1524103554611286,0.2051072574885077,0.1543348594305889,0.1346345169513908,0.1749126109610111,0.1761543770322538,0.2194272743813591,0.1773299407901468
GHL,0.021957274218752907,0.022036502465140904,0.022036502465140904,0.022036502465140904,0.022036502465140904,0.024906088025313352,0.007032134410434792,0.01,0.02403967392591458,0.02194264276383896,0.007300417014432965,0.022267466420840373,0.022036502465140904,0.018555507741547052,0.0222824024055511,0.007300696639816065,0.006973357718581757,0.007032134410434792,0.007162398270914556,0.006983726504185048
Genesis,0.007344291882168,0.0067127181025594,0.0069085272851481,0.0043398509403379,0.007344291882168,0.007344291882168,0.0098863829363306,0.02,0.1008839318972666,0.0309392882725309,0.0174649685991414,0.0067127181025594,0.0069085272851481,0.0043398509403379,0.007344291882168,0.0095595948878392,0.0099339099912006,0.0099372343846064,0.0075982115572001,0.0098863829363306
LTDB,0.44263579379660545,0.4235911265434943,0.4235911265434943,0.4235911265434943,0.4235911265434943,0.4537351024457031,0.3587630301194816,0.57,0.32818486903585115,0.38528945135175025,0.3424302572277791,0.4235911265434943,0.4448547132358771,0.22664672085637338,0.43870200483835275,0.30163190678915325,0.32928545383972074,0.3682624317762964,0.18766500658553803,0.3587630301194816
MITDB,0.081863834604961,0.08999952335567522,0.08999952335567522,0.08999952335567522,0.08999952335567522,0.09175703040429953,0.07272727580026916,0.14,0.14047671102510498,0.09066138400537845,0.055796357137715025,0.08999952335567522,0.09049922683515335,0.04483986574343119,0.0844989559791006,0.05090542744897204,0.07272727580026916,0.07516380410142223,0.042409067506967234,0.07291945497136966
MSL,0.6181719207391092,0.6162757946154144,0.6162757946154144,0.6162757946154144,0.6162757946154144,0.6620038518373353,0.2019668544343655,0.21,0.35224522318089097,0.6272663863320572,0.11158005795109548,0.6272372440270095,0.6113763172224914,0.49740193358894075,0.6162757946154144,0.13609742731727123,0.19788862621841696,0.20223559430427687,0.08683275657246974,0.2019668544343655
OPPORTUNITY,0.46379340827378035,0.4799207314425476,0.4799207314425476,0.4799207314425476,0.4799207314425476,0.48169831378491373,0.06239159404916876,0.07,0.15821631827323962,0.4804850141405631,0.07899342473591232,0.47956217275840796,0.4799207314425476,0.2879885278995383,0.46206123956081496,0.07571747993372113,0.06239159404916876,0.06198838819243168,0.053764622147556,0.060436163345891816
PSM,0.140439358986216,0.1383090276523972,0.1373110108155914,0.1177600624798341,0.140439358986216,0.140439358986216,0.1401163383793301,0.14,0.2188989654440098,0.1405056912782685,0.1661967171838048,0.1383090276523972,0.1373110108155914,0.1177600624798341,0.140439358986216,0.1619382592606965,0.1383872673314994,0.1383188888933527,0.1187372621769351,0.1401163383793301
SMAP,0.6051774007958699,0.600555263875507,0.600555263875507,0.600555263875507,0.600555263875507,0.619147814291617,0.304369073555467,0.32,0.19141717054062693,0.47027729942926444,0.1740906060335105,0.600555263875507,0.6066991048421749,0.24991089314033932,0.6059417212478391,0.19537193701960437,0.304369073555467,0.3082976570422116,0.12042364073164638,0.3212098656720699
SMD,0.1923162821950478,0.19725215875065677,0.19725215875065677,0.19725215875065677,0.19725215875065677,0.19884535848178692,0.35397701758095235,0.36,0.35327767205916805,0.18580669861485194,0.333945221853852,0.19725215875065677,0.1917410434367806,0.09794551568255845,0.19118417961648612,0.30468898088369684,0.35397701758095235,0.33110941737933686,0.21840294260420592,0.34102859443475536
SVDB,0.3990971385547069,0.4152310711770458,0.4152310711770458,0.4152310711770458,0.4152310711770458,0.4266311717650872,0.38515613332024107,0.47000000000000003,0.1864875405749051,0.41276962853855576,0.34948264690245895,0.3532368593875577,0.42417891496144555,0.08478624553385936,0.4152310711770458,0.3574204981728588,0.27527684827530696,0.38515613332024107,0.07012504051872732,0.37905883735224427
SWaT,0.1052643013066962,0.10798904605588974,0.10378414629594335,0.10304262481115395,0.10532906849589745,0.11194818978194679,0.12775645516423426,0.14,0.4052651115255468,0.1102001167194537,0.10067312363369291,0.10798904605588974,0.10378414629594335,0.10304262481115395,0.10532906849589745,0.1012818869698328,0.12612962964788926,0.12606414666079896,0.10768334615513131,0.12775645516423426
