Algorithm,Mean_VUS-PR,95%_CI_Lower,95%_CI_Upper
Series-Level Optimal,0.4526936057567358,0.3970512961557379,0.5056355384217642
TSPulse2Triangulation_forecast,0.44209290473403867,0.3858244673923559,0.4995306026704973
TSPulse2Triangulation_ensemble,0.4412025925349134,0.3873596614400831,0.49193094619362426
TSPulse2Triangulation_time,0.4410543883027971,0.3842250959395191,0.4922241971635449
TSPulse2Triangulation_fft,0.44098061531403626,0.38663033120504253,0.49459112499526237
TSPulse3_non_forecast_biased,0.4370224309272318,0.37900341862374365,0.49280291297875933
TSPulse2_llm_selection_ablated_fft,0.43279301506349316,0.3773180937592698,0.48592685803355834
TSPulse2_llm_selection_ablated_time,0.430894841859191,0.37624314116479524,0.48719959049648265
TSPulse2_llm_selection_ablated_ensemble,0.42403363176247466,0.36940827051677366,0.47687619824871746
TSPulse2,0.4188000453126899,0.36813225083263523,0.472503298932452
TSPulseFT,0.3896666666666666,0.34653749999999994,0.4316694444444444
TSPulseZS,0.36099730562284754,0.31143001703467227,0.414988486333941
TSPulse3_non_forecast_biased_dim_redux_ablated,0.32266625746347816,0.2728216221618181,0.372029038911585
CNN,0.31298480624155595,0.26287659229499527,0.3660672238226329
TSPulseZS_time,0.31187071842032077,0.2653534504164181,0.3629939501030785
TSPulse2_dimensionality_reduction_ablated,0.3101576474774317,0.25918677480344327,0.3638476048286591
TSPulseZS_ensemble,0.31009632800818415,0.2674308741051729,0.3601063325043712
TSPulseZS_fft,0.3100939580905856,0.26332948058139394,0.35966473014835965
TSPulse2_llm_selection_ablated_forecast,0.28344293202697224,0.23383120402765178,0.33429072481688715
STL_AD,0.253591656011174,0.2067475736119051,0.30076986536966266
TSPulseZS_forecast,0.23645187083098884,0.19143050567690403,0.28531631298624976
TranAD,0.17551219217598613,0.14514876481325514,0.21099820199809408
