file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,Diff_ZS_vs_Baseline
003_MSL_id_2_Sensor_tr_883_1st_1238,KMeansAD,0.3009849100983018,TSPulse2_tuning_set_channel_selection,0.9516234890047348,0.0792689051124186,0.6506385789064331
009_MSL_id_8_Sensor_tr_714_1st_1390,OFA,0.1476322660357973,TSPulse2_tuning_set_channel_selection,0.7461394085810773,0.0085067338163945,0.59850714254528
070_SMD_id_14_Facility_tr_1070_1st_1170,KMeansAD,0.4404126279292835,TSPulse_ZS_scaled_ensemble,0.7851675358793674,0.6984388325096873,0.3447549079500839
110_SVDB_id_27_Medical_tr_30824_1st_30924,USAD,0.0885940688137656,TSPulse_ZS_fft,0.4127690094626478,0.4102529276300417,0.3241749406488822
106_SVDB_id_23_Medical_tr_37500_1st_121963,OmniAnomaly,0.2298731100312313,TSPulse_ZS_fft,0.5439020155917513,0.5396695070796852,0.31402890556052004
014_MSL_id_13_Sensor_tr_1525_1st_4575,KMeansAD,0.6818744376521753,TSPulse2_tuning_set_channel_selection,0.992898044715912,0.661305274091666,0.3110236070637368
012_MSL_id_11_Sensor_tr_539_1st_940,KMeansAD,0.6464882828568288,TSPulse2_tuning_set_channel_selection,0.951040324769274,0.0794955115100804,0.3045520419124452
109_SVDB_id_26_Medical_tr_1038_1st_1138,OmniAnomaly,0.2842242409305809,TSPulse_ZS_time,0.5688194609272008,0.5570060414367448,0.2845952199966199
093_SVDB_id_10_Medical_tr_500_1st_37,OmniAnomaly,0.4780103947278869,TSPulse_ZS_ensemble,0.7362243032193727,0.7362243032193727,0.2582139084914858
077_SMD_id_21_Facility_tr_3026_1st_3126,KMeansAD,0.4169783121734766,TSPulse2_tuning_set_channel_selection,0.6684194656904461,0.4250527777078713,0.2514411535169695
088_SVDB_id_5_Medical_tr_500_1st_168,KMeansAD,0.1755326511048738,TSPulse_ZS_fft,0.4166595255507835,0.4119844271425347,0.24112687444590972
064_SMD_id_8_Facility_tr_2272_1st_2372,KMeansAD,0.4136035571127892,TSPulse2_tuning_set_channel_selection,0.6216497459761909,0.5286005131137419,0.20804618886340176
074_SMD_id_18_Facility_tr_7174_1st_21230,KMeansAD,0.7544131678558877,TSPulse_ZS_time,0.9177746859608537,0.9158407418239276,0.1633615181049659
089_SVDB_id_6_Medical_tr_50000_1st_83083,OmniAnomaly,0.0904374604554431,TSPulse_ZS_fft,0.2537361691054068,0.2498706091777375,0.1632987086499637
158_SMAP_id_15_Sensor_tr_2075_1st_5610,KMeansAD,0.6213314354171164,TSPulse_ZS_scaled_ensemble,0.7764066465123118,0.7651825350565588,0.1550752110951954
137_CreditCard_id_1_Finance_tr_500_1st_541,PCA,0.102513904913074,TSPulse_ZS_forecast,0.2565984442782133,0.0619907951332588,0.15408453936513933
084_SVDB_id_1_Medical_tr_12973_1st_13073,OmniAnomaly,0.1518426306536869,TSPulse_ZS_time,0.3002600754184271,0.2962559851983941,0.1484174447647402
098_SVDB_id_15_Medical_tr_500_1st_303,KMeansAD,0.2206525788438121,TSPulse_ZS_ensemble,0.3675025819921257,0.3675025819921257,0.14685000314831362
099_SVDB_id_16_Medical_tr_1115_1st_1215,OmniAnomaly,0.5329036729609078,TSPulse_ZS_fft,0.6618383686814042,0.6392022746627218,0.12893469572049643
152_SMAP_id_9_Sensor_tr_2073_1st_5600,KMeansAD,0.1266358569256149,TSPulse_ZS_scaled_ensemble,0.2524004008709529,0.2522634653962256,0.12576454394533798
078_SMD_id_22_Facility_tr_500_1st_326,CNN,0.7868777863841988,TSPulse_ZS_forecast,0.9102396172079346,0.634410808839791,0.12336183082373575
007_MSL_id_6_Sensor_tr_980_1st_3550,USAD,0.8655608869925534,TSPulse2_tuning_set_channel_selection,0.9876851968359966,0.1388019354501836,0.12212430984344325
069_SMD_id_13_Facility_tr_5925_1st_12760,RobustPCA,0.3575723638346737,TSPulse2_tuning_set_channel_selection,0.4739614127961165,0.3652224609089628,0.11638904896144275
097_SVDB_id_14_Medical_tr_1031_1st_1131,USAD,0.8686710601494021,TSPulse_ZS_fft,0.9740690566145176,0.9721361977844796,0.1053979964651155
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,USAD,0.3404924790834234,TSPulse_ZS_time,0.4392428560974355,0.4335364688514418,0.09875037701401213
094_SVDB_id_11_Medical_tr_20100_1st_23611,OmniAnomaly,0.2921698888684662,TSPulse_ZS_ensemble,0.3905375725913312,0.3905375725913312,0.09836768372286503
105_SVDB_id_22_Medical_tr_500_1st_417,OmniAnomaly,0.5440988426091159,TSPulse_ZS_time,0.6384465144152972,0.638025594942759,0.09434767180618131
068_SMD_id_12_Facility_tr_1099_1st_1199,KMeansAD,0.5488713125669745,TSPulse_ZS_forecast,0.6368327839341336,0.2738486662570959,0.08796147136715904
029_MITDB_id_11_Medical_tr_50000_1st_518037,OmniAnomaly,0.1873157902759864,TSPulse2_tuning_set_channel_selection,0.2746353331724875,0.0257829557797366,0.0873195428965011
061_SMD_id_5_Facility_tr_7176_1st_15144,RobustPCA,0.4127017851289086,TSPulse_ZS_forecast,0.4884014334057923,0.4043272554108025,0.07569964827688369
095_SVDB_id_12_Medical_tr_6264_1st_6364,OmniAnomaly,0.1785593894606015,TSPulse_ZS_fft,0.2541804206867161,0.2456115509341496,0.0756210312261146
161_SMAP_id_18_Sensor_tr_2075_1st_5550,OmniAnomaly,0.2384627535213032,TSPulse_ZS_fft,0.3139076905094279,0.3134570899632294,0.07544493698812471
173_GECCO_id_1_Sensor_tr_16165_1st_16265,PCA,0.201533447872178,TSPulse_ZS_fft,0.2433469219095882,0.2400028719411444,0.0418134740374102
057_SMD_id_1_Facility_tr_4529_1st_4629,LSTMAD,0.4381378736330958,TSPulse_ZS_scaled_ensemble,0.4753948965898461,0.45367739321647,0.03725702295675032
104_SVDB_id_21_Medical_tr_50000_1st_106634,OmniAnomaly,0.3594587691048738,TSPulse_ZS_fft,0.3964524702651907,0.3439901606408148,0.036993701160316916
079_LTDB_id_1_Medical_tr_3618_1st_3718,USAD,0.8488294579856344,TSPulse2_tuning_set_channel_selection,0.8831580043113172,0.7730770449487038,0.03432854632568283
102_SVDB_id_19_Medical_tr_50000_1st_107354,USAD,0.4852589933016209,TSPulse_ZS_fft,0.515675009189048,0.5014620529539227,0.03041601588742704
041_GHL_id_10_Sensor_tr_50000_1st_57001,KMeansAD,0.0177580348726307,TSPulse2_tuning_set_channel_selection,0.0461248300951209,0.006348045541971,0.028366795222490204
167_SMAP_id_24_Sensor_tr_2094_1st_5600,KMeansAD,0.9063260656363408,TSPulse_ZS_scaled_ensemble,0.9236631591754192,0.9132166326071144,0.01733709353907842
166_SMAP_id_23_Sensor_tr_1113_1st_1890,KMeansAD,0.9425094106268028,TSPulse_ZS_forecast,0.9574663056481516,0.7175869536009316,0.014956895021348782
196_Exathlon_id_23_Facility_tr_11665_1st_13484,MCD,0.977763328141098,TSPulse_ZS_scaled_ensemble,0.990928276978873,0.9904079953102812,0.01316494883777497
087_SVDB_id_4_Medical_tr_5421_1st_5521,USAD,0.6738361930040668,TSPulse_ZS_ensemble,0.6856859448404925,0.6856859448404925,0.01184975183642567
180_Exathlon_id_7_Facility_tr_10766_1st_12590,AutoEncoder,0.9877810016800206,TSPulse_ZS_fft,0.9994920320547332,0.9994743652254396,0.011711030374712661
005_MSL_id_4_Sensor_tr_855_1st_2700,KMeansAD,0.1132038200828637,TSPulse2_tuning_set_channel_selection,0.1243439813135447,0.056814943338398,0.011140161230680998
096_SVDB_id_13_Medical_tr_500_1st_444,OmniAnomaly,0.2058007301679089,TSPulse_ZS_fft,0.2167542554335917,0.2128113612191884,0.0109535252656828
159_SMAP_id_16_Sensor_tr_1757_1st_2650,KMeansAD,0.9370461095610194,TSPulse_ZS_ensemble,0.9470838110429096,0.9470838110429096,0.010037701481890204
101_SVDB_id_18_Medical_tr_1851_1st_1951,OmniAnomaly,0.6199153940882237,TSPulse_ZS_fft,0.6296983081561658,0.6295587142293004,0.009782914067942072
153_SMAP_id_10_Sensor_tr_1840_1st_4030,KMeansAD,0.0726376315701424,TSPulse_ZS_fft,0.0810628114547397,0.0788121674165821,0.008425179884597303
059_SMD_id_3_Facility_tr_757_1st_857,KNN,0.4361267193227304,TSPulse_ZS_forecast,0.4444223906671746,0.337835612121192,0.0082956713444442
177_Exathlon_id_4_Facility_tr_11665_1st_13484,AutoEncoder,0.9829580870729268,TSPulse_ZS_scaled_ensemble,0.990928276978873,0.9904079953102812,0.007970189905946223
091_SVDB_id_8_Medical_tr_500_1st_126,OmniAnomaly,0.5239290039930309,TSPulse_ZS_time,0.5305088071688383,0.5271648659010753,0.006579803175807419
058_SMD_id_2_Facility_tr_1087_1st_1187,MCD,0.6597818658189846,TSPulse2_tuning_set_channel_selection,0.6660546974255247,0.5641945336305894,0.00627283160654013
016_MSL_id_15_Sensor_tr_500_1st_780,KMeansAD,0.8353489403567498,TSPulse2_tuning_set_channel_selection,0.8412457984817486,0.4343961316744225,0.005896858124998849
179_Exathlon_id_6_Facility_tr_11665_1st_13484,AutoEncoder,0.985170460968416,TSPulse_ZS_scaled_ensemble,0.9906003962973788,0.989688086667874,0.005429935328962854
067_SMD_id_11_Facility_tr_1980_1st_2080,PCA,0.0726698116990663,TSPulse_ZS_scaled_ensemble,0.077853099267813,0.0715793034062316,0.005183287568746697
184_Exathlon_id_11_Facility_tr_11665_1st_13484,AutoEncoder,0.9858995456844886,TSPulse_ZS_scaled_ensemble,0.990928276978873,0.9904079953102812,0.005028731294384414
181_Exathlon_id_8_Facility_tr_11663_1st_13482,MCD,0.9824009980645094,TSPulse_ZS_time,0.9867615317104164,0.9795696730257846,0.004360533645906939
189_Exathlon_id_16_Facility_tr_11663_1st_13482,MCD,0.9824009980645094,TSPulse_ZS_time,0.9867615317104164,0.9795696730257846,0.004360533645906939
085_SVDB_id_2_Medical_tr_50000_1st_54982,OmniAnomaly,0.3289665312944677,TSPulse_ZS_time,0.3328443252312615,0.330135629994075,0.0038777939367938274
188_Exathlon_id_15_Facility_tr_12538_1st_12638,PCA,0.983149572376642,TSPulse_ZS_forecast,0.9867770226841572,0.9801415648587212,0.003627450307515212
190_Exathlon_id_17_Facility_tr_12538_1st_12638,PCA,0.983149572376642,TSPulse_ZS_forecast,0.9867770226841572,0.9801415648587212,0.003627450307515212
198_Exathlon_id_25_Facility_tr_12538_1st_12638,PCA,0.983149572376642,TSPulse_ZS_forecast,0.9867770226841572,0.9801415648587212,0.003627450307515212
199_Exathlon_id_26_Facility_tr_12538_1st_12638,PCA,0.983149572376642,TSPulse_ZS_forecast,0.9867770226841572,0.9801415648587212,0.003627450307515212
185_Exathlon_id_12_Facility_tr_11665_1st_13484,AutoEncoder,0.9873019734923032,TSPulse_ZS_scaled_ensemble,0.990928276978873,0.9904079953102812,0.003626303486569782
176_Exathlon_id_3_Facility_tr_10766_1st_12590,AutoEncoder,0.996369093529224,TSPulse_ZS_fft,0.9994920320547332,0.9994743652254396,0.0031229385255092668
197_Exathlon_id_24_Facility_tr_10766_1st_12590,AutoEncoder,0.996869525419762,TSPulse_ZS_fft,0.9994920320547332,0.9994743652254396,0.002622506634971211
200_Exathlon_id_27_Facility_tr_10766_1st_12590,AutoEncoder,0.9969220198074464,TSPulse_ZS_fft,0.9994920320547332,0.9994743652254396,0.0025700122472868125
182_Exathlon_id_9_Facility_tr_10766_1st_12590,AutoEncoder,0.996972161209642,TSPulse_ZS_fft,0.9994920320547332,0.9994743652254396,0.002519870845091199
186_Exathlon_id_13_Facility_tr_10766_1st_12590,AutoEncoder,0.9970445719458484,TSPulse_ZS_fft,0.9994920320547332,0.9994743652254396,0.002447460108884858
174_Exathlon_id_1_Facility_tr_10766_1st_12590,AutoEncoder,0.9969549314453996,TSPulse_ZS_time,0.9984945199451364,0.998439379463769,0.0015395884997367881
183_Exathlon_id_10_Facility_tr_11665_1st_13484,AutoEncoder,0.9899663455641968,TSPulse_ZS_scaled_ensemble,0.990928276978873,0.9904079953102812,0.0009619314146761537
192_Exathlon_id_19_Facility_tr_11665_1st_13484,AutoEncoder,0.9908507337683544,TSPulse_ZS_scaled_ensemble,0.990928276978873,0.9904079953102812,7.754321051856028e-05
191_Exathlon_id_18_Facility_tr_11665_1st_13484,AutoEncoder,0.9910129258664192,TSPulse_ZS_scaled_ensemble,0.990928276978873,0.9904079953102812,-8.464888754622368e-05
031_MITDB_id_13_Medical_tr_50000_1st_79433,KMeansAD,0.0336631854634044,TSPulse_ZS_fft,0.0306479714863741,0.0304487245691549,-0.003015213977030303
