Algorithm,Mean_VUS-PR
TSPulse_Best,0.4330224104398735
TSPulse_ZS_ensemble,0.36385080793760083
CNN,0.31298480624155595
OmniAnomaly,0.3122380595026194
PCA,0.3096051533292554
LSTMAD,0.306593942991209
USAD,0.3041090922725479
AutoEncoder,0.29504600455806845
KMeansAD,0.2948954450532416
CBLOF,0.27306903481860056
MCD,0.271139364994355
OCSVM,0.26478929448435307
Donut,0.26021491147792636
RobustPCA,0.238703705984497
FITS,0.2149830725540514
OFA,0.2105319459346524
EIF,0.20966211172400367
COPOD,0.20323143501417987
IForest,0.2025443112760111
HBOS,0.19017825971112756
TimesNet,0.18546545521619512
KNN,0.1838898417757286
TranAD,0.17551219217598613
LOF,0.13920942838102915
AnomalyTransformer,0.11835579811070729
