Algorithm,Mean_VUS-PR
TSPulse_ZS_ensemble,0.4659098406083048
TSPulse_ZS_time,0.42478551623664984
Sub-PCA,0.42338473549148065
TSPulse_ZS_fft,0.42330401858721284
KShapeAD,0.40077158869012236
POLY,0.3897525093510147
Series2Graph,0.3881006316148098
MOMENT (FT),0.38570729975701373
MOMENT (ZS),0.3790375605160939
KMeansAD,0.3664337887749897
USAD,0.36118639190964824
Sub-KNN,0.3501055579648467
MatrixProfile,0.3496268319265555
SAND,0.3437260279095962
CNN,0.34285576563742576
LSTMAD,0.32501544856160963
SR,0.32378560078581115
TimesFM,0.3003286328042841
IForest,0.29798049500023976
TSPulse_ZS_forecast,0.29750537542451905
OmniAnomaly,0.29136061002816316
Lag-Llama,0.2733832039582549
Chronos,0.27222562274034773
TimesNet,0.2623860365703778
AutoEncoder,0.26094944723695224
TranAD,0.25720159648183744
FITS,0.2553436614626993
Sub-LOF,0.2531585918419681
OFA,0.23695596155243404
Sub-MCD,0.2365355297655401
Sub-HBOS,0.22831081303681952
Sub-OCSVM,0.22510097392062992
Sub-IForest,0.22300818682136667
Donut,0.19801756054551017
LOF,0.16873907831388993
AnomalyTransformer,0.1195388432777161
TSPulse2,0.07873856125561152
